triangle,target,leg1,leg2,score,adf_p,half_life,resid_std,n
BANDUSDT|ETHUSDT|BNBUSDT,BANDUSDT,ETHUSDT,BNBUSDT,-0.13625181865239258,2.890267132099144e-06,16.34987140623126,0.1852987782534956,1498
XTZUSDT|ETHUSDT|BNBUSDT,XTZUSDT,ETHUSDT,BNBUSDT,-0.13626085448263509,0.00013443717377141506,16.33517007706364,0.13753444754175745,1668
OGNUSDT|BTCUSDT|ETHUSDT,OGNUSDT,BTCUSDT,ETHUSDT,-0.13626132021763473,2.9979603099608386e-05,16.347760873744214,0.1799604701577837,1252
UNIUSDT|ETHUSDT|SOLUSDT,UNIUSDT,ETHUSDT,SOLUSDT,-0.13627752946855812,3.37802136288176e-05,16.349249910591517,0.15761166526180162,1447
ATOMUSDT|BTCUSDT|SOLUSDT,ATOMUSDT,BTCUSDT,SOLUSDT,-0.13633379401085144,7.248521830159785e-06,16.359185458682553,0.16639232418750655,1451
SUSHIUSDT|BTCUSDT|SOLUSDT,SUSHIUSDT,BTCUSDT,SOLUSDT,-0.13640395856247922,3.300550972052129e-08,16.368471066836342,0.1859570748016629,1451
CRVUSDT|BTCUSDT|ETHUSDT,CRVUSDT,BTCUSDT,ETHUSDT,-0.13646695670473624,1.6891462764153178e-06,16.37583210701518,0.20952408099217884,1464
CELRUSDT|BNBUSDT|SOLUSDT,CELRUSDT,BNBUSDT,SOLUSDT,-0.1365456825213019,3.5445414574877666e-05,16.381228452807242,0.18215501571308718,1255
ENJUSDT|BTCUSDT|BNBUSDT,ENJUSDT,BTCUSDT,BNBUSDT,-0.13666515177508476,1.8456592377223705e-07,16.39979606509932,0.1850910620100161,1436
NEARUSDT|ETHUSDT|SOLUSDT,NEARUSDT,ETHUSDT,SOLUSDT,-0.13683420966956578,2.3879521190809348e-05,16.417239617804995,0.195514213142937,1420
ZRXUSDT|BTCUSDT|ETHUSDT,ZRXUSDT,BTCUSDT,ETHUSDT,-0.13723095265337173,2.843646818948894e-09,16.46771397716699,0.17286186381225913,1533
ZECUSDT|BTCUSDT|ETHUSDT,ZECUSDT,BTCUSDT,ETHUSDT,-0.13724907918958337,5.0907351463285165e-09,16.46988889186179,0.14942802371979622,1673
LTCUSDT|ETHUSDT|SOLUSDT,LTCUSDT,ETHUSDT,SOLUSDT,-0.137318961362008,1.1660320706874045e-05,16.476876124956135,0.11381374215409606,1451
UNIUSDT|BTCUSDT|ETHUSDT,UNIUSDT,BTCUSDT,ETHUSDT,-0.1373753680837341,5.826265158127499e-06,16.484345018229117,0.16281179283306896,1447
DOTUSDT|BTCUSDT|ETHUSDT,DOTUSDT,BTCUSDT,ETHUSDT,-0.1375006231803881,3.9825081912729144e-07,16.50002699154828,0.13533713058723207,1474
RVNUSDT|BTCUSDT|ETHUSDT,RVNUSDT,BTCUSDT,ETHUSDT,-0.13806661917669688,3.992149801957271e-07,16.567946395406004,0.15130407036829155,1289
IOTAUSDT|ETHUSDT|BNBUSDT,IOTAUSDT,ETHUSDT,BNBUSDT,-0.13818387767124263,9.424718955600347e-06,16.580934354274444,0.14458166017198973,1666
COTIUSDT|BTCUSDT|ETHUSDT,COTIUSDT,BTCUSDT,ETHUSDT,-0.13846103969325643,1.4402381324747127e-07,16.615307480333183,0.18393242031255147,1274
