variant,params,Sharpe,CAGR,MaxDD,n_days,vol_ann,yearly_sharpes,min_yearly_sharpe,robust_score,wf_mean,wf_std,wf_min,wf_score,wf_sharpes,composite_score,full_sharpe,full_max_dd
daily_static,"{'n_triangles': 10, 'window': 120, 'entry_z': 2.5, 'exit_z': 0.5, 'weight_cap': 0.15, 'adf_max': 0.05}",0.6370642460047368,0.1127497961682391,-0.29380601303980813,1827,0.19741497044022485,"{2020: nan, 2021: 0.9845480070490686, 2022: 0.7511318650266268, 2023: 0.8984139727998556, 2024: 0.46131125083240154}",0.46131125083240154,0.6219154568974885,0.773851273926988,0.19881298805382183,0.46131125083240154,0.7667070300665575,"[0.9845480070490686, 0.7511318650266268, 0.8984139727998556, 0.46131125083240154]",0.6104009618169138,0.6729412043433057,-0.29380601303980813
daily_static,"{'n_triangles': 10, 'window': 120, 'entry_z': 2.5, 'exit_z': 0.5, 'weight_cap': 0.2, 'adf_max': 0.05}",0.6312915363256457,0.1400202946230007,-0.3727296657850063,1827,0.25872622898371606,"{2020: nan, 2021: 0.890122483765632, 2022: 0.7868645971948282, 2023: 0.9957549945742233, 2024: 0.40416564044482806}",0.40416564044482806,0.5596439028892033,0.7692269289948779,0.22333356856717873,0.40416564044482806,0.7383932728002541,"[0.890122483765632, 0.7868645971948282, 0.9957549945742233, 0.40416564044482806]",0.5662417920691507,0.6690927146662458,-0.3727296657850063
daily_static,"{'n_triangles': 10, 'window': 120, 'entry_z': 2.0, 'exit_z': 0.5, 'weight_cap': 0.2, 'adf_max': 0.05}",0.6659775278931166,0.1625440692941611,-0.361806885571899,1827,0.2856112478549357,"{2020: nan, 2021: 1.1300325853479727, 2022: 1.0361047217696446, 2023: 0.36816591585087527, 2024: 0.2909800086298924}",0.2909800086298924,0.5413383366313523,0.7063208078995964,0.37919184153617697,0.2909800086298924,0.5749208888574864,"[1.1300325853479727, 1.0361047217696446, 0.36816591585087527, 0.2909800086298924]",0.49895839624736404,0.7252867729020134,-0.361806885571899
daily_static,"{'n_triangles': 10, 'window': 120, 'entry_z': 2.5, 'exit_z': 0.75, 'weight_cap': 0.15, 'adf_max': 0.05}",0.5589196693469162,0.09416760850345218,-0.2775276342784754,1827,0.19353339877692918,"{2020: nan, 2021: 0.9366961437504403, 2022: 0.8045521362324837, 2023: 0.47518527245833914, 2024: 0.3153430367362833}",0.3153430367362833,0.5072805313486674,0.6329441472943866,0.24873324327263371,0.3153430367362833,0.5716461330053264,"[0.9366961437504403, 0.8045521362324837, 0.47518527245833914, 0.3153430367362833]",0.4790804387936313,0.597299541034122,-0.2775276342784754
daily_static,"{'n_triangles': 10, 'window': 120, 'entry_z': 2.25, 'exit_z': 0.5, 'weight_cap': 0.15, 'adf_max': 0.05}",0.5872294392746112,0.10753897499114973,-0.2991564240875366,1827,0.21071080393108257,"{2020: nan, 2021: 1.0198653381161884, 2022: 0.8057585471618789, 2023: 0.6556850928110749, 2024: 0.1778794174839052}",0.1778794174839052,0.5026749939780846,0.6647970988932619,0.30948159942343945,0.1778794174839052,0.5456321826783233,"[1.0198653381161884, 0.8057585471618789, 0.6556850928110749, 0.1778794174839052]",0.4674425106253597,0.5991371748963379,-0.2991564240875366
daily_static,"{'n_triangles': 10, 'window': 120, 'entry_z': 2.5, 'exit_z': 0.75, 'weight_cap': 0.2, 'adf_max': 0.05}",0.55277849864021,0.11542766484356037,-0.35560931526153705,1827,0.25371479516603757,"{2020: nan, 2021: 0.8392328062706014, 2022: 0.8308076554886573, 2023: 0.5752669347680394, 2024: 0.25575889716881195}",0.25575889716881195,0.4830148806260408,0.6252665734240275,0.2382564647035373,0.25575889716881195,0.5572901205060212,"[0.8392328062706014, 0.8308076554886573, 0.5752669347680394, 0.25575889716881195]",0.4607097265214299,0.593112654573645,-0.35560931526153705
daily_static,"{'n_triangles': 10, 'window': 120, 'entry_z': 2.0, 'exit_z': 0.5, 'weight_cap': 0.15, 'adf_max': 0.05}",0.6195695059123657,0.12041150698701086,-0.2855434427030099,1827,0.22263033613040767,"{2020: nan, 2021: 1.0928449407160035, 2022: 0.9964477344145651, 2023: 0.27890796117188094, 2024: 0.2418670064045739}",0.2418670064045739,0.5137245236646572,0.6525169106767559,0.39382552500571266,0.2418670064045739,0.5039775494548143,"[1.0928449407160035, 0.9964477344145651, 0.27890796117188094, 0.2418670064045739]",0.4589406303247465,0.6769367327104304,-0.2855434427030099
daily_static,"{'n_triangles': 10, 'window': 120, 'entry_z': 2.25, 'exit_z': 0.5, 'weight_cap': 0.2, 'adf_max': 0.05}",0.6049440132170418,0.1380546868604129,-0.37392741180469435,1827,0.2735080623413196,"{2020: nan, 2021: 0.9760381388253808, 2022: 0.8604381980620402, 2023: 0.6965410786823092, 2024: 0.17974216060533238}",0.17974216060533238,0.4696179030827504,0.6781898940437656,0.30443181920775614,0.17974216060533238,0.561922416560954,"[0.9760381388253808, 0.8604381980620402, 0.6965410786823092, 0.17974216060533238]",0.4549626924918466,0.6121782445142118,-0.37392741180469435
daily_static,"{'n_triangles': 10, 'window': 90, 'entry_z': 2.25, 'exit_z': 0.75, 'weight_cap': 0.15, 'adf_max': 0.05}",0.6662136180396427,0.1366956909092314,-0.23911798718352628,1827,0.2288610056017137,"{2020: nan, 2021: 1.0352123267142217, 2022: 1.1054713770565714, 2023: 0.09584217532699454, 2024: 0.3031668454755366}",0.09584217532699454,0.5049342307816513,0.634923181143331,0.44224359854800444,0.09584217532699454,0.4329698169347277,"[1.0352123267142217, 1.1054713770565714, 0.09584217532699454, 0.3031668454755366]",0.42925326285706294,0.672166226527682,-0.23911798718352628
daily_static,"{'n_triangles': 10, 'window': 105, 'entry_z': 2.0, 'exit_z': 0.5, 'weight_cap': 0.2, 'adf_max': 0.05}",0.656092862383629,0.1649918464476794,-0.2999753585325996,1827,0.2948853636808336,"{2020: nan, 2021: 0.7358458084283871, 2022: 1.3990164821868072, 2023: 0.08472420918451641, 2024: 0.21605868561298797}",0.08472420918451641,0.47867120535283053,0.6089112963531746,0.5170792616119685,0.08472420918451641,0.36731650738409366,"[0.7358458084283871, 1.3990164821868072, 0.08472420918451641, 0.21605868561298797]",0.39182994052848963,0.67213249844242,-0.2999753585325996
