,return
2020-03-31 00:00:00+00:00,0.0
2020-04-01 00:00:00+00:00,0.0
2020-04-02 00:00:00+00:00,0.0
2020-04-03 00:00:00+00:00,0.0
2020-04-04 00:00:00+00:00,0.0
2020-04-05 00:00:00+00:00,0.0
2020-04-06 00:00:00+00:00,0.0
2020-04-07 00:00:00+00:00,0.0
2020-04-08 00:00:00+00:00,0.0
2020-04-09 00:00:00+00:00,0.0
2020-04-10 00:00:00+00:00,0.0
2020-04-11 00:00:00+00:00,0.0
2020-04-12 00:00:00+00:00,0.0
2020-04-13 00:00:00+00:00,0.0
2020-04-14 00:00:00+00:00,0.0
2020-04-15 00:00:00+00:00,0.0
2020-04-16 00:00:00+00:00,0.0
2020-04-17 00:00:00+00:00,0.0
2020-04-18 00:00:00+00:00,0.0
2020-04-19 00:00:00+00:00,0.0
2020-04-20 00:00:00+00:00,0.0
2020-04-21 00:00:00+00:00,0.0
2020-04-22 00:00:00+00:00,0.0
2020-04-23 00:00:00+00:00,0.0
2020-04-24 00:00:00+00:00,0.0
2020-04-25 00:00:00+00:00,0.0
2020-04-26 00:00:00+00:00,0.0
2020-04-27 00:00:00+00:00,0.0
2020-04-28 00:00:00+00:00,0.0
2020-04-29 00:00:00+00:00,0.0
2020-04-30 00:00:00+00:00,0.0
2020-05-01 00:00:00+00:00,0.0
2020-05-02 00:00:00+00:00,0.0
2020-05-03 00:00:00+00:00,0.0
2020-05-04 00:00:00+00:00,0.0
2020-05-05 00:00:00+00:00,0.0
2020-05-06 00:00:00+00:00,0.0
2020-05-07 00:00:00+00:00,0.0
2020-05-08 00:00:00+00:00,0.0
2020-05-09 00:00:00+00:00,0.0
2020-05-10 00:00:00+00:00,0.0
2020-05-11 00:00:00+00:00,0.0
2020-05-12 00:00:00+00:00,0.0
2020-05-13 00:00:00+00:00,0.0
2020-05-14 00:00:00+00:00,0.0
2020-05-15 00:00:00+00:00,0.0
2020-05-16 00:00:00+00:00,0.0
2020-05-17 00:00:00+00:00,0.0
2020-05-18 00:00:00+00:00,0.0
2020-05-19 00:00:00+00:00,0.0
2020-05-20 00:00:00+00:00,0.0
2020-05-21 00:00:00+00:00,0.0
2020-05-22 00:00:00+00:00,0.0
2020-05-23 00:00:00+00:00,0.0
2020-05-24 00:00:00+00:00,0.0
2020-05-25 00:00:00+00:00,0.0
2020-05-26 00:00:00+00:00,0.0
2020-05-27 00:00:00+00:00,0.0
2020-05-28 00:00:00+00:00,0.0
2020-05-29 00:00:00+00:00,0.0
2020-05-30 00:00:00+00:00,0.0
2020-05-31 00:00:00+00:00,0.0
2020-06-01 00:00:00+00:00,0.0
2020-06-02 00:00:00+00:00,0.0
2020-06-03 00:00:00+00:00,0.0
2020-06-04 00:00:00+00:00,0.0
2020-06-05 00:00:00+00:00,0.0
2020-06-06 00:00:00+00:00,0.0
2020-06-07 00:00:00+00:00,0.0
2020-06-08 00:00:00+00:00,0.0
2020-06-09 00:00:00+00:00,0.0
2020-06-10 00:00:00+00:00,0.0
2020-06-11 00:00:00+00:00,0.0
2020-06-12 00:00:00+00:00,0.0
2020-06-13 00:00:00+00:00,0.0
2020-06-14 00:00:00+00:00,0.0
2020-06-15 00:00:00+00:00,0.0
2020-06-16 00:00:00+00:00,0.0
2020-06-17 00:00:00+00:00,0.0
2020-06-18 00:00:00+00:00,0.0
2020-06-19 00:00:00+00:00,0.0
2020-06-20 00:00:00+00:00,0.0
2020-06-21 00:00:00+00:00,0.0
2020-06-22 00:00:00+00:00,0.0
2020-06-23 00:00:00+00:00,0.0
2020-06-24 00:00:00+00:00,0.0
2020-06-25 00:00:00+00:00,0.0
2020-06-26 00:00:00+00:00,0.0
2020-06-27 00:00:00+00:00,0.0
2020-06-28 00:00:00+00:00,0.0
2020-06-29 00:00:00+00:00,0.0
2020-06-30 00:00:00+00:00,0.0
2020-07-01 00:00:00+00:00,0.0
2020-07-02 00:00:00+00:00,0.0
2020-07-03 00:00:00+00:00,0.0
2020-07-04 00:00:00+00:00,0.0
2020-07-05 00:00:00+00:00,0.0
2020-07-06 00:00:00+00:00,0.0
2020-07-07 00:00:00+00:00,0.0
2020-07-08 00:00:00+00:00,0.0
2020-07-09 00:00:00+00:00,0.0
2020-07-10 00:00:00+00:00,0.0
2020-07-11 00:00:00+00:00,0.0
2020-07-12 00:00:00+00:00,0.0
2020-07-13 00:00:00+00:00,0.0
2020-07-14 00:00:00+00:00,0.0
2020-07-15 00:00:00+00:00,0.0
2020-07-16 00:00:00+00:00,0.0
2020-07-17 00:00:00+00:00,0.0
2020-07-18 00:00:00+00:00,0.0
2020-07-19 00:00:00+00:00,0.0
2020-07-20 00:00:00+00:00,0.0
2020-07-21 00:00:00+00:00,0.0
2020-07-22 00:00:00+00:00,0.0
2020-07-23 00:00:00+00:00,0.0
2020-07-24 00:00:00+00:00,0.0
2020-07-25 00:00:00+00:00,0.0
2020-07-26 00:00:00+00:00,0.0
2020-07-27 00:00:00+00:00,0.0
2020-07-28 00:00:00+00:00,0.0
2020-07-29 00:00:00+00:00,0.0
2020-07-30 00:00:00+00:00,0.0
2020-07-31 00:00:00+00:00,0.0
2020-08-01 00:00:00+00:00,0.0
2020-08-02 00:00:00+00:00,0.0
2020-08-03 00:00:00+00:00,0.0
2020-08-04 00:00:00+00:00,0.0
2020-08-05 00:00:00+00:00,0.0
2020-08-06 00:00:00+00:00,0.0
2020-08-07 00:00:00+00:00,-0.000475
2020-08-08 00:00:00+00:00,-0.05773497573234518
2020-08-09 00:00:00+00:00,-0.01965785952732191
2020-08-10 00:00:00+00:00,-0.022959033615491467
2020-08-11 00:00:00+00:00,0.013291663677047415
2020-08-12 00:00:00+00:00,-0.014506546832148208
2020-08-13 00:00:00+00:00,0.025588819390845025
2020-08-14 00:00:00+00:00,-0.028024958554332555
2020-08-15 00:00:00+00:00,-0.002448645301190582
2020-08-16 00:00:00+00:00,-0.04837742430439099
2020-08-17 00:00:00+00:00,0.03773319236727056
2020-08-18 00:00:00+00:00,0.005034641716549096
2020-08-19 00:00:00+00:00,0.024951910589278307
2020-08-20 00:00:00+00:00,-0.03948434765106879
2020-08-21 00:00:00+00:00,0.029484692279422964
2020-08-22 00:00:00+00:00,-0.03627731156710961
2020-08-23 00:00:00+00:00,-0.02358545368146902
2020-08-24 00:00:00+00:00,0.006533142610933319
2020-08-25 00:00:00+00:00,0.025174879935192813
2020-08-26 00:00:00+00:00,-0.021605334886182218
2020-08-27 00:00:00+00:00,0.018342313037086833
2020-08-28 00:00:00+00:00,-0.01651762185616823
2020-08-29 00:00:00+00:00,-0.014181546214285792
2020-08-30 00:00:00+00:00,0.006223770736293736
2020-08-31 00:00:00+00:00,0.017633322563811074
2020-09-01 00:00:00+00:00,0.01264315154405727
2020-09-02 00:00:00+00:00,0.018133501469069127
2020-09-03 00:00:00+00:00,0.04310484753940241
2020-09-04 00:00:00+00:00,0.0014229444226203057
2020-09-05 00:00:00+00:00,0.06253337646810035
2020-09-06 00:00:00+00:00,-0.036912111714230034
2020-09-07 00:00:00+00:00,0.01102681339256387
2020-09-08 00:00:00+00:00,0.008483019980347669
2020-09-09 00:00:00+00:00,-0.023348254375596653
2020-09-10 00:00:00+00:00,-0.013137752683710735
2020-09-11 00:00:00+00:00,-0.00990096955253892
2020-09-12 00:00:00+00:00,-0.012683553803943563
2020-09-13 00:00:00+00:00,0.022951163113408782
2020-09-14 00:00:00+00:00,0.004538048364859874
2020-09-15 00:00:00+00:00,0.03466789730896054
2020-09-16 00:00:00+00:00,-0.004227750985820209
2020-09-17 00:00:00+00:00,-0.010145244856679659
2020-09-18 00:00:00+00:00,-0.0038199842450474778
2020-09-19 00:00:00+00:00,0.008029948165114398
2020-09-20 00:00:00+00:00,0.015995651325780347
2020-09-21 00:00:00+00:00,0.0316760432259101
2020-09-22 00:00:00+00:00,-0.007496326778220046
2020-09-23 00:00:00+00:00,0.024396442036323254
2020-09-24 00:00:00+00:00,-0.028909660103467925
2020-09-25 00:00:00+00:00,-0.026665901321760558
2020-09-26 00:00:00+00:00,-0.00696977322174385
2020-09-27 00:00:00+00:00,-0.002107173870468334
2020-09-28 00:00:00+00:00,-0.0057748067203660675
2020-09-29 00:00:00+00:00,-0.003837650731808506
2020-09-30 00:00:00+00:00,-0.00909073541003238
2020-10-01 00:00:00+00:00,0.00749108591468455
2020-10-02 00:00:00+00:00,0.024514946224900185
2020-10-03 00:00:00+00:00,0.007043419838234471
2020-10-04 00:00:00+00:00,0.01970762819506355
2020-10-05 00:00:00+00:00,0.019581046483559118
2020-10-06 00:00:00+00:00,0.0319273383251703
2020-10-07 00:00:00+00:00,-0.00728330237916638
2020-10-08 00:00:00+00:00,-0.0027905650328664423
2020-10-09 00:00:00+00:00,-0.010811332043655555
2020-10-10 00:00:00+00:00,0.010583946556317244
2020-10-11 00:00:00+00:00,-0.020851676050355896
2020-10-12 00:00:00+00:00,-0.0029683483780812165
2020-10-13 00:00:00+00:00,0.003607342150873268
2020-10-14 00:00:00+00:00,0.01574088575056742
2020-10-15 00:00:00+00:00,0.014667000536371695
2020-10-16 00:00:00+00:00,0.012555216146851523
2020-10-17 00:00:00+00:00,-0.00916849413591998
2020-10-18 00:00:00+00:00,-0.004462908415326966
2020-10-19 00:00:00+00:00,0.02422697929601794
2020-10-20 00:00:00+00:00,0.043778914099915425
