time,daily_return,equity,drawdown,sample
2023-10-19 00:00:00+00:00,0.0054906772136624595,14.132942362957987,-0.25465832294890123,in_sample
2023-10-20 00:00:00+00:00,0.015559582612650592,14.352845047214263,-0.243061117550173,in_sample
2023-10-21 00:00:00+00:00,0.01560034843810667,14.57675443102896,-0.23125260723760466,in_sample
2023-10-22 00:00:00+00:00,0.003971339601752931,14.634643673165932,-0.22819965027298306,in_sample
2023-10-23 00:00:00+00:00,0.02507792039421582,15.001650102199301,-0.20884450254230102,in_sample
2023-10-24 00:00:00+00:00,0.00114277049731315,15.018793545347108,-0.20794039338101933,in_sample
2023-10-25 00:00:00+00:00,-0.008734512149602115,14.887611710652909,-0.2148586476382418,in_sample
2023-10-26 00:00:00+00:00,0.015099368704231205,15.112405248997486,-0.203003508873993,in_sample
2023-10-27 00:00:00+00:00,-0.000512740754201234,15.10465650293232,-0.20341216145594865,in_sample
2023-10-28 00:00:00+00:00,0.01035964908557358,15.261135443860825,-0.1951597909827968,in_sample
2023-10-29 00:00:00+00:00,-0.01788620225500727,14.988171688670871,-0.20955532574424085,in_sample
2023-10-30 00:00:00+00:00,-0.0206926172296418,14.678027188945052,-0.2259116948298241,in_sample
2023-10-31 00:00:00+00:00,0.008482990126851149,14.802540748670523,-0.21934511137975465,in_sample
2023-11-01 00:00:00+00:00,0.0274437028230738,15.208777278003478,-0.19792105060908083,in_sample
2023-11-02 00:00:00+00:00,0.0022448197268069526,15.242918241257755,-0.1961205279610314,in_sample
2023-11-03 00:00:00+00:00,-0.0006847442143291416,15.232480741182561,-0.1966709797785281,in_sample
2023-11-04 00:00:00+00:00,-0.017299123065447623,14.968972182248782,-0.2105678673613849,in_sample
2023-11-05 00:00:00+00:00,0.02438207669858242,15.33394681009532,-0.19131987255506455,in_sample
2023-11-06 00:00:00+00:00,0.016579532247960885,15.588176475721813,-0.17791233430380615,in_sample
2023-11-07 00:00:00+00:00,-0.009608037234208573,15.438404695729664,-0.18581098320559875,in_sample
2023-11-08 00:00:00+00:00,-0.0014786954622263658,15.415575996762074,-0.18701492081012716,in_sample
2023-11-09 00:00:00+00:00,0.015559375136082418,15.655432726634485,-0.17436538098297416,in_sample
2023-11-10 00:00:00+00:00,0.015828763015637775,15.903238861171642,-0.16129660626104725,in_sample
2023-11-11 00:00:00+00:00,0.020600757741904153,16.230857632262275,-0.14401868082931824,in_sample
2023-11-12 00:00:00+00:00,0.005877473548837715,16.326254068670845,-0.13898767326759343,in_sample
2023-11-13 00:00:00+00:00,-0.0133758943639358,16.10787581888953,-0.15050448319601262,in_sample
2023-11-14 00:00:00+00:00,-0.009801494508908467,15.949994562500503,-0.15883080883930922,in_sample
2023-11-15 00:00:00+00:00,0.03818360328482847,16.559022827270194,-0.12671193814860937,in_sample
2023-11-16 00:00:00+00:00,0.0013060818244138908,16.58065026601495,-0.12557135248354756,in_sample
2023-11-17 00:00:00+00:00,0.014464630671053011,16.82048324839875,-0.11292306504903371,in_sample
2023-11-18 00:00:00+00:00,-0.00806495110110394,16.68482687350348,-0.12007729715233029,in_sample
2023-11-19 00:00:00+00:00,0.008311964365500895,16.823510559920592,-0.11276341100186515,in_sample
