time,Baseline (equal weight),Spread-weighted legs,Conviction sizing 50–100%,Conviction sizing 70–100%,Vol target 15%,Vol target 20%,sample
2020-01-01 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,in_sample
2020-01-02 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,in_sample
2020-01-03 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,in_sample
2020-01-04 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,in_sample
2020-01-05 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,in_sample
2020-01-06 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,in_sample
2020-01-07 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,in_sample
2020-01-08 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,in_sample
2020-01-09 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,in_sample
2020-01-10 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,in_sample
2020-01-11 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,in_sample
2020-01-12 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,in_sample
2020-01-13 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,in_sample
2020-01-14 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,in_sample
2020-01-15 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,in_sample
2020-01-16 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,in_sample
2020-01-17 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,in_sample
2020-01-18 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,in_sample
2020-01-19 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,in_sample
2020-01-20 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,in_sample
2020-01-21 00:00:00+00:00,1.0,1.0,1.0,1.0,0.998575,0.998575,in_sample
2020-01-22 00:00:00+00:00,1.0,1.0,1.0,1.0,0.998575,0.998575,in_sample
