time,S1,S2,S3,S4,S5,ensemble_eq,ensemble_opt,buy_hold,sample
2019-09-08 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,in_sample
2019-09-09 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9918559456023743,in_sample
2019-09-10 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9721304549911806,in_sample
2019-09-11 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9776666413257593,in_sample
2019-09-12 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0022614354052253,in_sample
2019-09-13 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9951605282328182,in_sample
2019-09-14 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9942857857718184,in_sample
2019-09-15 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.991395960017822,in_sample
2019-09-16 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9863005130090275,in_sample
2019-09-17 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9802619993206072,in_sample
2019-09-18 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9772441859458045,in_sample
2019-09-19 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9859184747724852,in_sample
2019-09-20 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9783210141238671,in_sample
2019-09-21 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9607087627253857,in_sample
2019-09-22 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9645301074037472,in_sample
2019-09-23 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9336321635778025,in_sample
2019-09-24 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8175647131393247,in_sample
2019-09-25 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8112365432564478,in_sample
2019-09-26 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7756386630393884,in_sample
2019-09-27 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7868370987034758,in_sample
2019-09-28 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7886520209052863,in_sample
2019-09-29 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7738882158044503,in_sample
2019-09-30 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7973571037459957,in_sample
2019-10-01 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7977574259283674,in_sample
2019-10-02 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8037372385275457,in_sample
2019-10-03 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7910472178089483,in_sample
2019-10-04 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7824143084386185,in_sample
2019-10-05 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.781604040944491,in_sample
2019-10-06 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.755684141948857,in_sample
2019-10-07 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7878340549076517,in_sample
2019-10-08 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7859806401883055,in_sample
2019-10-09 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.823717742067414,in_sample
2019-10-10 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8233568747155163,in_sample
2019-10-11 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7944451447944163,in_sample
2019-10-12 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7987409097514057,in_sample
2019-10-13 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7962812378808715,in_sample
2019-10-14 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.803151189948064,in_sample
2019-10-15 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7852483200421879,in_sample
2019-10-16 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7691007089359417,in_sample
2019-10-17 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7765095562486347,in_sample
2019-10-18 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7644556243823154,in_sample
2019-10-19 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7648241902377203,in_sample
2019-10-20 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7908509059695159,in_sample
2019-10-21 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7892640519341046,in_sample
2019-10-22 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7718606224432549,in_sample
2019-10-23 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7183666085108882,in_sample
2019-10-24 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.713203799596406,in_sample
2019-10-25 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8324006917105402,in_sample
2019-10-26 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8884284756096974,in_sample
2019-10-27 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9174037181847314,in_sample
2019-10-28 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8869984785832445,in_sample
2019-10-29 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9060195561235341,in_sample
2019-10-30 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8819886774259669,in_sample
2019-10-31 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8805163386302246,in_sample
2019-11-01 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8883120357441519,in_sample
2019-11-02 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8937770109212896,in_sample
2019-11-03 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8851238929792535,in_sample
2019-11-04 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.904137272016036,in_sample
2019-11-05 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8962212857848096,in_sample
2019-11-06 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8991467171175265,in_sample
2019-11-07 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8872178859331982,in_sample
2019-11-08 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8444324903792765,in_sample
2019-11-09 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8479083647127544,in_sample
2019-11-10 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8700569593028236,in_sample
2019-11-11 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8400299086861254,in_sample
2019-11-12 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8484722800946531,in_sample
2019-11-13 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8444065079299399,in_sample
2019-11-14 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8316548991832851,in_sample
2019-11-15 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8153937351503086,in_sample
2019-11-16 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8171066521806493,in_sample
2019-11-17 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.818354772061746,in_sample
2019-11-18 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7875184162638587,in_sample
2019-11-19 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7825240121135953,in_sample
2019-11-20 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7789009039005431,in_sample
2019-11-21 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7334652985142851,in_sample
2019-11-22 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6989009423930607,in_sample
2019-11-23 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7030648704774901,in_sample
2019-11-24 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6640786864043466,in_sample
2019-11-25 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6834375357860124,in_sample
2019-11-26 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.688053750951487,in_sample
2019-11-27 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7223861896545586,in_sample
2019-11-28 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7136310665410528,in_sample
2019-11-29 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7445088017952911,in_sample
2019-11-30 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7258659132397902,in_sample
2019-12-01 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7108980977960148,in_sample
2019-12-02 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.701622363382838,in_sample
2019-12-03 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7016088910017004,in_sample
2019-12-04 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6919992339989011,in_sample
2019-12-05 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7106671426908002,in_sample
2019-12-06 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7238614153891162,in_sample
2019-12-07 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7205029432341221,in_sample
2019-12-08 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7225238004047488,in_sample
2019-12-09 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7060961562334302,in_sample
2019-12-10 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6948842481882054,in_sample
2019-12-11 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6934205702089086,in_sample
2019-12-12 00:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6923620259766755,in_sample
